Date,Open,High,Low,Close,Volume
2021-09-07,42165.0,42165.0,41765.0,41915.0,45048
2021-09-08,41890.0,41890.0,41495.0,41560.0,241536
2021-09-09,41270.0,41465.0,40795.0,40805.0,98945
2021-09-10,40765.0,41115.0,40765.0,40995.0,244655
2021-09-13,40980.0,41250.0,40850.0,41060.0,88966
2021-09-14,41190.0,41615.0,41190.0,41365.0,234716
2021-09-15,41345.0,41585.0,41205.0,41430.0,134418
2021-09-16,41445.0,41520.0,41000.0,41070.0,161461
2021-09-17,40850.0,41240.0,40800.0,41175.0,36653
2021-09-23,42965.0,42965.0,40860.0,41080.0,133538
2021-09-24,41170.0,41370.0,41015.0,41060.0,710103
2021-09-27,41060.0,41405.0,41050.0,41170.0,154581
2021-09-28,41165.0,41165.0,40660.0,40660.0,69653
2021-09-29,40060.0,40325.0,39755.0,40120.0,445979
2021-09-30,40120.0,40380.0,39900.0,40300.0,465718
2021-10-01,40180.0,40180.0,39510.0,39575.0,216898
2021-10-05,39250.0,39305.0,38630.0,38945.0,503583
2021-10-06,39135.0,39340.0,38345.0,38345.0,221379
2021-10-07,38700.0,39080.0,38680.0,38950.0,270430
2021-10-08,39180.0,39180.0,38835.0,38890.0,128951
2021-10-12,38890.0,38890.0,38090.0,38215.0,114628
2021-10-13,38205.0,38750.0,38200.0,38595.0,108661
2021-10-14,38860.0,39125.0,38840.0,39085.0,102331
2021-10-15,39375.0,39610.0,39365.0,39500.0,151083
2021-10-18,39485.0,39580.0,39140.0,39415.0,17584
2021-10-19,39570.0,39760.0,39515.0,39715.0,208788
2021-10-20,39835.0,39980.0,39545.0,39545.0,124867
2021-10-21,39545.0,39720.0,39415.0,39465.0,63018
2021-10-22,39465.0,39665.0,39350.0,39540.0,32185
2021-10-25,39500.0,39760.0,39190.0,39685.0,16096
2021-10-26,40050.0,40140.0,39845.0,40080.0,26607
2021-10-27,40090.0,40090.0,39610.0,39745.0,109702
2021-10-28,39670.0,39835.0,39550.0,39550.0,15206
2021-10-29,39585.0,39760.0,38850.0,38950.0,42805
2021-11-01,39035.0,39275.0,39035.0,39080.0,134493
2021-11-02,39205.0,39930.0,39205.0,39595.0,173922
2021-11-03,39595.0,39595.0,38955.0,39020.0,30758
2021-11-04,39330.0,39650.0,39205.0,39280.0,134327
2021-11-05,39545.0,39600.0,38880.0,39095.0,185446
2021-11-08,39255.0,39255.0,38670.0,39050.0,92722
2021-11-09,39050.0,39430.0,38950.0,39155.0,86962
2021-11-10,39005.0,39165.0,38690.0,38730.0,40880
2021-11-11,38570.0,38720.0,38400.0,38705.0,835203
2021-11-12,38915.0,39295.0,38890.0,39130.0,315466
2021-11-15,39505.0,39680.0,39330.0,39580.0,151052
2021-11-16,39410.0,39760.0,39390.0,39505.0,227833
2021-11-17,39505.0,39570.0,38990.0,39035.0,92067
2021-11-18,39030.0,39105.0,38770.0,38860.0,44748
2021-11-19,38975.0,39225.0,38860.0,39130.0,217298
2021-11-22,39355.0,40100.0,39355.0,40050.0,255585
2021-11-23,40105.0,40105.0,39665.0,39715.0,102618
2021-11-24,39760.0,40020.0,39430.0,39650.0,250643
2021-11-25,39585.0,39620.0,39290.0,39350.0,161774
2021-11-26,39330.0,39330.0,38570.0,38625.0,100302
2021-11-29,38060.0,38635.0,38060.0,38315.0,61309
2021-11-30,38525.0,38725.0,37220.0,37535.0,162831
2021-12-01,37705.0,38530.0,37590.0,38465.0,203305
2021-12-02,38270.0,39090.0,38145.0,39060.0,121019
2021-12-03,38780.0,39480.0,38775.0,39355.0,188828
2021-12-06,39135.0,39615.0,38900.0,39440.0,89965
2021-12-07,39300.0,39795.0,39235.0,39765.0,131743
2021-12-08,40070.0,40405.0,39820.0,39940.0,147662
2021-12-09,39875.0,40185.0,39865.0,40100.0,243029
2021-12-10,40080.0,40080.0,39765.0,39800.0,234330
2021-12-13,39970.0,40510.0,39835.0,39885.0,65038
2021-12-14,39540.0,39860.0,39480.0,39645.0,86791
2021-12-15,39380.0,39660.0,39380.0,39650.0,49798
2021-12-16,39900.0,40080.0,39630.0,39890.0,81794
2021-12-17,39730.0,40010.0,39530.0,39990.0,150020
2021-12-20,39660.0,39865.0,39175.0,39255.0,133830
2021-12-21,39475.0,39690.0,39300.0,39545.0,139989
2021-12-22,39880.0,39945.0,39615.0,39780.0,428646
2021-12-23,39980.0,39980.0,39760.0,39955.0,51715
2021-12-24,39970.0,40410.0,39970.0,40230.0,114700
2021-12-27,40165.0,40275.0,40000.0,40050.0,449707
2021-12-28,40050.0,40310.0,39875.0,40290.0,156546
2021-12-29,40335.0,40510.0,40225.0,40260.0,345592
2021-12-30,40410.0,40410.0,39945.0,40110.0,160880
2022-01-04,40120.0,40210.0,39865.0,40075.0,117851
2022-01-05,39850.0,40035.0,39305.0,39560.0,302815
2022-01-06,39135.0,39585.0,39090.0,39125.0,181072
2022-01-07,39225.0,39690.0,39225.0,39570.0,330132
2022-01-10,39420.0,39420.0,39045.0,39290.0,317208
2022-01-11,39500.0,39615.0,39200.0,39430.0,359536
2022-01-12,39635.0,40080.0,39635.0,40065.0,250474
2022-01-13,40090.0,40175.0,39835.0,39890.0,23989
2022-01-14,39700.0,39700.0,39180.0,39260.0,174192
2022-01-17,39300.0,39300.0,38730.0,38965.0,557458
2022-01-18,39260.0,39260.0,38555.0,38685.0,403819
2022-01-19,38315.0,38765.0,38250.0,38355.0,130639
2022-01-20,38445.0,38615.0,38230.0,38615.0,93810
2022-01-21,38285.0,38330.0,37920.0,38195.0,229898
2022-01-24,38195.0,38195.0,37570.0,37725.0,416707
2022-01-25,37685.0,37715.0,36585.0,36805.0,417584
2022-01-26,36875.0,37130.0,36615.0,36690.0,160407
2022-01-27,36755.0,36755.0,35410.0,35435.0,848271
2022-01-28,35645.0,36570.0,35460.0,36545.0,258590
2022-02-03,36950.0,37260.0,36850.0,36850.0,221426
2022-02-04,37175.0,37365.0,36865.0,37340.0,350217
2022-02-07,36975.0,37195.0,36635.0,37040.0,174940
2022-02-08,37505.0,37510.0,36840.0,37145.0,188256
2022-02-09,37365.0,37605.0,37360.0,37585.0,205166
2022-02-10,37810.0,37960.0,37635.0,37870.0,98678
2022-02-11,37620.0,37780.0,37350.0,37365.0,215978
