Date,Tenkan,Kijun,Senkou_A,Senkou_B,Close
2021-06-01,262000.0,253000.0,257500.0,247551.1640625,261000.0
2021-06-02,262000.0,253000.0,257500.0,247551.1640625,263500.0
2021-06-03,263000.0,254000.0,258500.0,247551.1640625,269500.0
2021-06-04,263000.0,254000.0,258500.0,247551.1640625,266000.0
2021-06-07,263000.0,254000.0,258500.0,247551.1640625,265500.0
2021-06-08,263000.0,254000.0,258500.0,248786.453125,265000.0
2021-06-09,264250.0,254000.0,259125.0,253233.4765625,262000.0
2021-06-10,268500.0,256500.0,262500.0,253233.4765625,272500.0
2021-06-11,268500.0,258000.0,263250.0,253233.4765625,275500.0
2021-06-14,273000.0,262000.0,267500.0,255410.9609375,282000.0
2021-06-15,276500.0,265500.0,271000.0,258910.9609375,289000.0
2021-06-16,279000.0,268000.0,273500.0,261410.9609375,292000.0
2021-06-17,281000.0,269500.0,275250.0,262910.9609375,297000.0
2021-06-18,293750.0,282250.0,288000.0,275660.9609375,313000.0
2021-06-21,293750.0,283750.0,288750.0,275660.9609375,308000.0
2021-06-22,294000.0,284500.0,289250.0,275660.9609375,324500.0
2021-06-23,304250.0,293000.0,298625.0,280910.9609375,321500.0
2021-06-24,306750.0,294500.0,300625.0,280910.9609375,322000.0
2021-06-25,308250.0,294500.0,301375.0,280910.9609375,314000.0
2021-06-28,312000.0,294500.0,303250.0,280910.9609375,312000.0
2021-06-29,311750.0,294500.0,303125.0,280910.9609375,289000.0
2021-06-30,311750.0,294500.0,303125.0,285500.0,292500.0
2021-07-01,311750.0,294500.0,303125.0,285500.0,302000.0
2021-07-02,311750.0,295750.0,303750.0,285500.0,303000.0
2021-07-05,311750.0,297500.0,304625.0,285500.0,306500.0
2021-07-06,308000.0,297500.0,302750.0,285500.0,302000.0
2021-07-07,306500.0,298500.0,302500.0,285500.0,297500.0
2021-07-08,301750.0,298500.0,300125.0,285500.0,294000.0
2021-07-09,300750.0,298500.0,299625.0,285500.0,308000.0
2021-07-12,302000.0,299000.0,300500.0,285500.0,307000.0
2021-07-13,302000.0,299000.0,300500.0,285500.0,309000.0
2021-07-14,306000.0,299000.0,302500.0,285500.0,319000.0
2021-07-15,306000.0,299250.0,302625.0,285500.0,319500.0
2021-07-16,306000.0,304250.0,305125.0,285500.0,317500.0
2021-07-19,306000.0,306750.0,306375.0,287000.0,315000.0
2021-07-20,306000.0,308250.0,307125.0,287500.0,306000.0
2021-07-21,306000.0,311750.0,308875.0,287500.0,298500.0
2021-07-22,309750.0,311750.0,310750.0,287500.0,301500.0
2021-07-23,309750.0,311750.0,310750.0,287500.0,303000.0
2021-07-26,309750.0,311750.0,310750.0,287500.0,299000.0
2021-07-27,309250.0,311750.0,310500.0,289000.0,298500.0
2021-07-28,307750.0,311750.0,309750.0,289750.0,299000.0
2021-07-29,306750.0,308000.0,307375.0,293000.0,297000.0
2021-07-30,304000.0,306500.0,305250.0,294500.0,289500.0
2021-08-02,300750.0,304750.0,302750.0,294500.0,294500.0
2021-08-03,298000.0,304750.0,301375.0,294500.0,291500.0
2021-08-04,298000.0,306000.0,302000.0,294500.0,295500.0
2021-08-05,298000.0,306000.0,302000.0,294500.0,298500.0
2021-08-06,299750.0,306000.0,302875.0,294500.0,310000.0
2021-08-09,300250.0,306000.0,303125.0,295750.0,308000.0
2021-08-10,302500.0,306000.0,304250.0,297500.0,313500.0
2021-08-11,302500.0,306000.0,304250.0,297500.0,301000.0
2021-08-12,302500.0,306000.0,304250.0,298500.0,303500.0
2021-08-13,302500.0,306000.0,304250.0,298500.0,299000.0
2021-08-17,302500.0,306000.0,304250.0,298500.0,291500.0
2021-08-18,299000.0,302500.0,300750.0,299000.0,293000.0
2021-08-19,299000.0,302500.0,300750.0,299000.0,285000.0
2021-08-20,291750.0,294750.0,293250.0,299000.0,274000.0
2021-08-23,291750.0,293250.0,292500.0,299250.0,283500.0
2021-08-24,290250.0,293000.0,291625.0,302250.0,288500.0
2021-08-25,286500.0,293000.0,289750.0,302250.0,285500.0
2021-08-26,285500.0,291750.0,288625.0,302250.0,287000.0
2021-08-27,285500.0,291750.0,288625.0,302250.0,284500.0
2021-08-30,281250.0,291750.0,286500.0,302250.0,286000.0
2021-08-31,280750.0,291750.0,286250.0,302250.0,289500.0
2021-09-01,279750.0,291750.0,285750.0,302250.0,286000.0
2021-09-02,283250.0,291750.0,287500.0,302250.0,280500.0
2021-09-03,285750.0,291750.0,288750.0,302250.0,281000.0
2021-09-06,285500.0,291750.0,288625.0,298500.0,286500.0
2021-09-07,285500.0,291750.0,288625.0,297000.0,286000.0
2021-09-08,285000.0,291750.0,288375.0,295250.0,280000.0
2021-09-09,283750.0,291750.0,287750.0,295250.0,278000.0
2021-09-10,271000.0,283500.0,277250.0,287000.0,269500.0
2021-09-13,271000.0,283500.0,277250.0,287000.0,264000.0
2021-09-14,269500.0,283500.0,276500.0,287000.0,283500.0
2021-09-15,269500.0,283500.0,276500.0,287000.0,279500.0
2021-09-16,269500.0,282000.0,275750.0,287000.0,276500.0
2021-09-17,269500.0,278250.0,273875.0,287000.0,276500.0
2021-09-23,269000.0,277250.0,273125.0,287000.0,270500.0
2021-09-24,268750.0,277250.0,273000.0,287000.0,268000.0
2021-09-27,268750.0,273000.0,270875.0,287000.0,278000.0
2021-09-28,277500.0,272750.0,275125.0,287000.0,283500.0
2021-09-29,280750.0,272750.0,276750.0,287000.0,287000.0
2021-09-30,285000.0,276750.0,280875.0,286500.0,298500.0
2021-10-01,285000.0,276750.0,280875.0,285000.0,291500.0
2021-10-05,285000.0,276750.0,280875.0,284750.0,293000.0
2021-10-06,285000.0,276750.0,280875.0,284750.0,283000.0
2021-10-07,285000.0,276750.0,280875.0,283500.0,291500.0
2021-10-08,285250.0,276750.0,281000.0,283500.0,281000.0
2021-10-12,287250.0,276750.0,282000.0,283500.0,275500.0
2021-10-13,287250.0,276750.0,282000.0,283500.0,274500.0
2021-10-14,287250.0,276750.0,282000.0,283500.0,288500.0
2021-10-15,290250.0,279750.0,285000.0,283500.0,306500.0
2021-10-18,291250.0,280750.0,286000.0,283500.0,305000.0
2021-10-19,298250.0,287750.0,293000.0,287750.0,322000.0
2021-10-20,305000.0,294500.0,299750.0,294500.0,319500.0
2021-10-21,305000.0,294500.0,299750.0,294500.0,330500.0
2021-10-22,305000.0,294500.0,299750.0,294500.0,325000.0
2021-10-25,305250.0,299250.0,302250.0,294500.0,326000.0
2021-10-26,310250.0,307000.0,308625.0,299000.0,342000.0
2021-10-27,319750.0,308500.0,314125.0,300250.0,348500.0
2021-10-28,326500.0,308500.0,317500.0,300250.0,333500.0
2021-10-29,328000.0,308500.0,318250.0,300250.0,335000.0
2021-11-01,332500.0,308750.0,320625.0,300500.0,348500.0
2021-11-02,336750.0,313000.0,324875.0,304750.0,348000.0
2021-11-03,337250.0,313250.0,325250.0,304750.0,346500.0
2021-11-04,345750.0,322250.0,334000.0,311750.0,356500.0
2021-11-05,356750.0,330000.0,343375.0,319500.0,383500.0
2021-11-08,364000.0,334750.0,349375.0,324250.0,392500.0
2021-11-09,364000.0,334750.0,349375.0,324250.0,389000.0
2021-11-10,364000.0,334750.0,349375.0,324250.0,385000.0
2021-11-11,367750.0,334750.0,351250.0,324250.0,389000.0
2021-11-12,370750.0,336750.0,353750.0,326250.0,396500.0
2021-11-15,376750.0,342750.0,359750.0,332250.0,407000.0
2021-11-16,379000.0,345000.0,362000.0,334500.0,414000.0
2021-11-17,389250.0,347000.0,368125.0,336250.0,414000.0
2021-11-18,399250.0,347500.0,373375.0,336250.0,412500.0
2021-11-19,399250.0,355750.0,377500.0,336250.0,400500.0
2021-11-22,395750.0,362500.0,379125.0,336250.0,392500.0
2021-11-23,395750.0,364000.0,379875.0,336250.0,392500.0
2021-11-24,395750.0,368250.0,382000.0,336250.0,386000.0
2021-11-25,395750.0,368250.0,382000.0,336250.0,385500.0
2021-11-26,393750.0,368750.0,381250.0,336250.0,372000.0
2021-11-29,390750.0,370250.0,380500.0,336250.0,369000.0
2021-11-30,388250.0,373500.0,380875.0,341000.0,364500.0
2021-12-01,379250.0,376000.0,377625.0,344250.0,352500.0
2021-12-02,367250.0,375000.0,371125.0,344500.0,330000.0
2021-12-03,367250.0,375000.0,371125.0,344500.0,354500.0
2021-12-06,361250.0,375000.0,368125.0,344500.0,335000.0
2021-12-07,361250.0,375000.0,368125.0,344500.0,339500.0
2021-12-08,361000.0,375000.0,368000.0,344500.0,341000.0
2021-12-09,357500.0,375000.0,366250.0,344750.0,354500.0
2021-12-10,354250.0,375000.0,364625.0,346750.0,352000.0
2021-12-13,349000.0,375000.0,362000.0,346750.0,337500.0
2021-12-14,344750.0,375000.0,359875.0,346750.0,331500.0
2021-12-15,344750.0,375000.0,359875.0,346750.0,332500.0
2021-12-16,344750.0,375000.0,359875.0,346750.0,333000.0
2021-12-17,344750.0,375000.0,359875.0,346750.0,331000.0
2021-12-20,342750.0,373000.0,357875.0,346750.0,325000.0
2021-12-21,342000.0,372250.0,357125.0,346750.0,337000.0
2021-12-22,339750.0,372250.0,356000.0,346750.0,341000.0
2021-12-23,338000.0,371000.0,354500.0,347000.0,341000.0
2021-12-24,335250.0,369500.0,352375.0,347500.0,340500.0
2021-12-27,335250.0,364500.0,349875.0,355750.0,341000.0
2021-12-28,342500.0,364500.0,353500.0,362500.0,358000.0
2021-12-29,343500.0,358500.0,351000.0,364000.0,349500.0
2021-12-30,343500.0,358500.0,351000.0,368250.0,349000.0
2022-01-04,343500.0,358250.0,350875.0,368250.0,337500.0
2022-01-05,337250.0,348500.0,342875.0,366000.0,314000.0
2022-01-06,330250.0,338250.0,334250.0,359000.0,298500.0
2022-01-07,330250.0,333000.0,331625.0,359000.0,302500.0
